Book,Title,page,Description
,,,
Summary,,,
Saved on,"27/7/2024, 5:57:29 pm",,
Searched for,ah ,,
In index(es),/Users/Terry 1/Documents/History/Sands&McDougall/S&M1865-1945.pdx,,
,/Users/Terry 1/Documents/History/Sands&McDougall1950-1974/Sands&McDougall1950-1974.pdx,,
Number of document(s) found,23,,
Number of instance(s) found,10130,,
,,,
File name,Title,Page,Search Instance
S&M1870.pdf,,50,"Å\, livery stables Ah Young 57 Sun War On, merchant 59 Wing Cheong, merchant "
S&M1870.pdf,,50,"cooperage Young, Mrs. Ah Leung Sung Hup, merchant Hang Chun Hong, merchant Dung Sing "
S&M1870.pdf,,73,"produce merchants Åe Ah Mouy and Co., mrehts. and rice millers Miller, J., and "
S&M1870.pdf,,189,"Amoo, John 17 Ah Mon 19 King, Mrs., dressmaker - 21 Linnett, W. 23 "
S&M1870.pdf,,189,"FRishe, Thos. 59 Ah Chung 61 Cross, William 33 Nind, Phillip 65 McMichael, Charles "
S&M1870.pdf,,200,"master mariner 105 Ah Moy 107 Klemmer, A. 109 Rerrie, Andrew 111 Vacant 113 "
S&M1870.pdf,,238,"Kwong- HlI).-DOW, Ah Chean and Co,, grocers 101 Barnett, Mrs., straw hat maker "
S&M1870.pdf,,240,"John Ryan, Michael Ah Chung, gardener Fitzroy-street Webb-streetÅ\North side Brunswick-street "
S&M1870.pdf,,390,"Church-st., Rd. Ah Leung, Chinese boardinghse., Celestial-alley Ah Mouy and Co., ("
S&M1870.pdf,,390,"boardinghse., Celestial-alley Ah Mouy and Co., (Louis), merchants and rice millers, 59 "
S&M1870.pdf,,390,"Kerr-st., F. Ah Young, Chinese boardinghouse, Little Bourke-st. ea. Aikenhead, William, Rowena-"
S&M1870.pdf,,520,"Vincent-place; Em.aH Kelly, Robert, Penel Establishment, Pent(- "
S&M1870.pdf,,745,"See Physicians.) Merchants. Ah Mouy & Co. (Chinese), 59 Flinders-street west, and "
S&M1870.pdf,,747,"and Flour Factors. Ah Mouy and Co. (rice), 89 Flinders-st. west Aitken, "
,,,
File name,Title,Page,Search Instance
S&M1910.pdf,,53,"Sons 228-230 Ah Shem, store 232.236 Pack Kee, banana merchant 238 Quong Hoong "
S&M1910.pdf,,73,"electrical engineer 142 Ah Wing, L., Chinesc laundry 144 Lamb, Wm. P., tailor 146 "
S&M1910.pdf,,74,"E,, bharrister 6 Ah Ket, William. bharicter 6aBrennan, T. C., barrister Tucker, FÅeredmh*"
S&M1910.pdf,,78,"Mrs Georgina 15 Ah Lee 26 Lee Hoi, cabinet maker 27 Ah Moy, fishmenger "
S&M1910.pdf,,78,"cabinet maker 27 Ah Moy, fishmenger 29 Ho Kay, cabinetmaker 31 Ah Sing Lit "
S&M1910.pdf,,78,"Kay, cabinetmaker 31 Ah Sing Lit Bourke st CUMBERLAND PL Off 40 Lit Lonsdale "
S&M1910.pdf,,78,"Lee, cabinetmaker 22 Ah Yin, cabinetmaker 12 Bond, Tom . 14 Perry g stables "
S&M1910.pdf,,80,"Fred. artist 16 Ah Mouy,'M. H., architect 18 Freadman, Louis general printer 20 "
S&M1910.pdf,,80,"dentist 874 Lovey Ah Kim, Chinese laundry . 376 McLean, Mrg Ellen dressmaker 878 "
S&M1910.pdf,,83,"Mrs Sophia 3 Ah Wong, cabinetmaker 5 Ah IÄen cabinetmaker 7 Wong Shoon, "
S&M1910.pdf,,83,"Wong, cabinetmaker 5 Ah IÄen cabinetmaker 7 Wong Shoon, cabinetmaker 13 Ah Sam, "
S&M1910.pdf,,83,"Shoon, cabinetmaker 13 Ah Sam, cabinetmaker EXHIBITION STÅ\B SIDB . (For the "
S&M1910.pdf,,84,"niÅ\ 3 Gee Ah, eabinetmaker 9 Moxham, Mrs Antibena 5 houses occupied by ."
S&M1910.pdf,,84,"F. fruiterer, 205 Ah Poy, cabinetmaker Åã˝ - 297 Campbell, Thomas, polisher 2909 "
